"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q2",-0.7789114,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q3",-2.105111,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q4",0.9513248,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q1",-0.8590806,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q2",-0.7283241,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q3",-0.8817025,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q4",0.08881775,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q1",-0.1258983,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q2",0.2305897,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q3",-0.7093768,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q4",3.755312,
"LUX","ULC","EMP","PC_CHGPY","Q","2000-Q1",-0.1099586,
"LUX","ULC","EMP","PC_CHGPY","Q","2000-Q2",2.94083,
"LUX","ULC","EMP","PC_CHGPY","Q","2000-Q3",6.951598,
"LUX","ULC","EMP","PC_CHGPY","Q","2000-Q4",2.199124,
"LUX","ULC","EMP","PC_CHGPY","Q","2001-Q1",7.200874,
"LUX","ULC","EMP","PC_CHGPY","Q","2001-Q2",9.557333,
"LUX","ULC","EMP","PC_CHGPY","Q","2001-Q3",6.655051,
"LUX","ULC","EMP","PC_CHGPY","Q","2001-Q4",3.086415,
"LUX","ULC","EMP","PC_CHGPY","Q","2002-Q1",5.07938,
"LUX","ULC","EMP","PC_CHGPY","Q","2002-Q2",-1.182757,
"LUX","ULC","EMP","PC_CHGPY","Q","2002-Q3",2.904574,
"LUX","ULC","EMP","PC_CHGPY","Q","2002-Q4",5.341113,
"LUX","ULC","EMP","PC_CHGPY","Q","2003-Q1",3.336297,
"LUX","ULC","EMP","PC_CHGPY","Q","2003-Q2",3.229216,
"LUX","ULC","EMP","PC_CHGPY","Q","2003-Q3",0.7340214,
"LUX","ULC","EMP","PC_CHGPY","Q","2003-Q4",-1.422175,
"LUX","ULC","EMP","PC_CHGPY","Q","2004-Q1",0.756543,
"LUX","ULC","EMP","PC_CHGPY","Q","2004-Q2",3.37978,
"LUX","ULC","EMP","PC_CHGPY","Q","2004-Q3",1.376802,
"LUX","ULC","EMP","PC_CHGPY","Q","2004-Q4",4.544661,
"LUX","ULC","EMP","PC_CHGPY","Q","2005-Q1",3.271498,
"LUX","ULC","EMP","PC_CHGPY","Q","2005-Q2",2.799868,
"LUX","ULC","EMP","PC_CHGPY","Q","2005-Q3",3.19921,
"LUX","ULC","EMP","PC_CHGPY","Q","2005-Q4",4.42148,
"LUX","ULC","EMP","PC_CHGPY","Q","2006-Q1",2.207071,
"LUX","ULC","EMP","PC_CHGPY","Q","2006-Q2",3.760557,
"LUX","ULC","EMP","PC_CHGPY","Q","2006-Q3",4.256934,
"LUX","ULC","EMP","PC_CHGPY","Q","2006-Q4",1.421267,
"LUX","ULC","EMP","PC_CHGPY","Q","2007-Q1",1.936725,
"LUX","ULC","EMP","PC_CHGPY","Q","2007-Q2",-1.407058,
"LUX","ULC","EMP","PC_CHGPY","Q","2007-Q3",-0.4538733,
"LUX","ULC","EMP","PC_CHGPY","Q","2007-Q4",1.686002,
"LUX","ULC","EMP","PC_CHGPY","Q","2008-Q1",5.197146,
"LUX","ULC","EMP","PC_CHGPY","Q","2008-Q2",8.9366,
"LUX","ULC","EMP","PC_CHGPY","Q","2008-Q3",10.62539,
"LUX","ULC","EMP","PC_CHGPY","Q","2008-Q4",11.52787,
"LUX","ULC","EMP","PC_CHGPY","Q","2009-Q1",9.948437,
"LUX","ULC","EMP","PC_CHGPY","Q","2009-Q2",10.83585,
"LUX","ULC","EMP","PC_CHGPY","Q","2009-Q3",7.376489,
"LUX","ULC","EMP","PC_CHGPY","Q","2009-Q4",1.842906,
"LUX","ULC","EMP","PC_CHGPY","Q","2010-Q1",-0.6214004,
"LUX","ULC","EMP","PC_CHGPY","Q","2010-Q2",-3.814982,
"LUX","ULC","EMP","PC_CHGPY","Q","2010-Q3",-1.380031,
"LUX","ULC","EMP","PC_CHGPY","Q","2010-Q4",1.768751,
"LUX","ULC","EMP","PC_CHGPY","Q","2011-Q1",1.459393,
"LUX","ULC","EMP","PC_CHGPY","Q","2011-Q2",3.39385,
"LUX","ULC","EMP","PC_CHGPY","Q","2011-Q3",1.687376,
"LUX","ULC","EMP","PC_CHGPY","Q","2011-Q4",2.772694,
"LUX","ULC","EMP","PC_CHGPY","Q","2012-Q1",6.021462,
"LUX","ULC","EMP","PC_CHGPY","Q","2012-Q2",3.833755,
"LUX","ULC","EMP","PC_CHGPY","Q","2012-Q3",4.051687,
"LUX","ULC","EMP","PC_CHGPY","Q","2012-Q4",4.643606,
"LUX","ULC","EMP","PC_CHGPY","Q","2013-Q1",0.9665381,
"LUX","ULC","EMP","PC_CHGPY","Q","2013-Q2",0.4639616,
"LUX","ULC","EMP","PC_CHGPY","Q","2013-Q3",-0.6158407,
"LUX","ULC","EMP","PC_CHGPY","Q","2013-Q4",1.280029,
"LUX","ULC","EMP","PC_CHGPY","Q","2014-Q1",0.3823448,
"LUX","ULC","EMP","PC_CHGPY","Q","2014-Q2",4.222947,
"LUX","ULC","EMP","PC_CHGPY","Q","2014-Q3",3.87475,
"LUX","ULC","EMP","PC_CHGPY","Q","2014-Q4",-0.9410577,
"LUX","ULC","EMP","PC_CHGPY","Q","2015-Q1",-0.1055564,
"LUX","ULC","EMP","PC_CHGPY","Q","2015-Q2",-1.660013,
"LUX","ULC","EMP","PC_CHGPY","Q","2015-Q3",1.108187,
"LUX","ULC","EMP","PC_CHGPY","Q","2015-Q4",0.9282134,
"LUX","ULC","EMP","PC_CHGPY","Q","2016-Q1",2.240774,
"LUX","ULC","EMP","PC_CHGPY","Q","2016-Q2",-1.332341,
"LUX","ULC","EMP","PC_CHGPY","Q","2016-Q3",-2.571527,
"LUX","ULC","EMP","PC_CHGPY","Q","2016-Q4",-1.316655,
"LUX","ULC","EMP","PC_CHGPY","Q","2017-Q1",2.722235,
"LUX","ULC","EMP","PC_CHGPY","Q","2017-Q2",6.495099,
"LUX","ULC","EMP","PC_CHGPY","Q","2017-Q3",4.994176,
"LUX","ULC","EMP","PC_CHGPY","Q","2017-Q4",4.265175,
"LUX","ULC","EMP","PC_CHGPY","Q","2018-Q1",0.6888648,
"LUX","ULC","EMP","PC_CHGPY","Q","2018-Q2",2.285297,
"LUX","ULC","EMP","PC_CHGPY","Q","2018-Q3",4.698529,
"LUX","ULC","EMP","PC_CHGPY","Q","2018-Q4",7.543704,
"LUX","ULC","EMP","PC_CHGPY","Q","2019-Q1",6.478503,
"LUX","ULC","EMP","PC_CHGPY","Q","2019-Q2",3.172961,
"LUX","ULC","EMP","PC_CHGPY","Q","2019-Q3",2.39907,
"LUX","ULC","EMP","PC_CHGPY","Q","2019-Q4",0.3570602,
"AUT","ULC","HRWKD","PC_CHGPP","A","1996",-0.132701,
"AUT","ULC","HRWKD","PC_CHGPP","A","1997",-0.170589,
"AUT","ULC","HRWKD","PC_CHGPP","A","1998",0.03773,
"AUT","ULC","HRWKD","PC_CHGPP","A","1999",0.130555,
"AUT","ULC","HRWKD","PC_CHGPP","A","2000",0.232558,
"AUT","ULC","HRWKD","PC_CHGPP","A","2001",0.706796,
"AUT","ULC","HRWKD","PC_CHGPP","A","2002",0.484684,
"AUT","ULC","HRWKD","PC_CHGPP","A","2003",1.37757,
"AUT","ULC","HRWKD","PC_CHGPP","A","2004",-0.297536,
"AUT","ULC","HRWKD","PC_CHGPP","A","2005",0.370376,
"AUT","ULC","HRWKD","PC_CHGPP","A","2006",1.274407,
"AUT","ULC","HRWKD","PC_CHGPP","A","2007",0.62366,
"AUT","ULC","HRWKD","PC_CHGPP","A","2008",3.037687,
"AUT","ULC","HRWKD","PC_CHGPP","A","2009",4.963357,
"AUT","ULC","HRWKD","PC_CHGPP","A","2010",-0.39001,
"AUT","ULC","HRWKD","PC_CHGPP","A","2011",1.03272,
"AUT","ULC","HRWKD","PC_CHGPP","A","2012",2.608699,
"AUT","ULC","HRWKD","PC_CHGPP","A","2013",2.267681,
"AUT","ULC","HRWKD","PC_CHGPP","A","2014",1.855698,
"AUT","ULC","HRWKD","PC_CHGPP","A","2015",1.832875,
"AUT","ULC","HRWKD","PC_CHGPP","A","2016",1.575294,
"AUT","ULC","HRWKD","PC_CHGPP","A","2017",0.93336,
"AUT","ULC","HRWKD","PC_CHGPP","A","2018",2.467737,
"AUT","ULC","HRWKD","PC_CHGPP","A","2019",2.313492,
"SVK","ULC","EMP","PC_CHGPP","A","1996",8.133329,
"SVK","ULC","EMP","PC_CHGPP","A","1997",9.043278,
"SVK","ULC","EMP","PC_CHGPP","A","1998",5.109344,
"SVK","ULC","EMP","PC_CHGPP","A","1999",4.020765,
"SVK","ULC","EMP","PC_CHGPP","A","2000",9.784047,
"SVK","ULC","EMP","PC_CHGPP","A","2001",2.945484,
"SVK","ULC","EMP","PC_CHGPP","A","2002",4.19288,
"SVK","ULC","EMP","PC_CHGPP","A","2003",3.355175,
"SVK","ULC","EMP","PC_CHGPP","A","2004",2.286109,
"SVK","ULC","EMP","PC_CHGPP","A","2005",3.61346,
"SVK","ULC","EMP","PC_CHGPP","A","2006",1.656545,
"SVK","ULC","EMP","PC_CHGPP","A","2007",0.21784,
"SVK","ULC","EMP","PC_CHGPP","A","2008",4.266585,
"SVK","ULC","EMP","PC_CHGPP","A","2009",6.395391,
"SVK","ULC","EMP","PC_CHGPP","A","2010",-1.838941,
"SVK","ULC","EMP","PC_CHGPP","A","2011",0.9246948,
"SVK","ULC","EMP","PC_CHGPP","A","2012",0.5954614,
"SVK","ULC","EMP","PC_CHGPP","A","2013",1.087179,
"SVK","ULC","EMP","PC_CHGPP","A","2014",0.6648261,
"SVK","ULC","EMP","PC_CHGPP","A","2015",0.9226767,
"SVK","ULC","EMP","PC_CHGPP","A","2016",2.482852,
"SVK","ULC","EMP","PC_CHGPP","A","2017",4.525813,
"SVK","ULC","EMP","PC_CHGPP","A","2018",3.883325,
"SVK","ULC","EMP","PC_CHGPP","A","2019",5.898054,
"PRT","ULC","EMP","PC_CHGPP","Q","1995-Q2",-0.09700617,
"PRT","ULC","EMP","PC_CHGPP","Q","1995-Q3",0.5296978,
"PRT","ULC","EMP","PC_CHGPP","Q","1995-Q4",2.053464,
"PRT","ULC","EMP","PC_CHGPP","Q","1996-Q1",0.8514569,
"PRT","ULC","EMP","PC_CHGPP","Q","1996-Q2",0.9006674,
"PRT","ULC","EMP","PC_CHGPP","Q","1996-Q3",0.3471542,
"PRT","ULC","EMP","PC_CHGPP","Q","1996-Q4",2.769328,
"PRT","ULC","EMP","PC_CHGPP","Q","1997-Q1",-0.8358499,
"PRT","ULC","EMP","PC_CHGPP","Q","1997-Q2",2.189124,
"PRT","ULC","EMP","PC_CHGPP","Q","1997-Q3",0.7260152,
"PRT","ULC","EMP","PC_CHGPP","Q","1997-Q4",0.9466223,
"PRT","ULC","EMP","PC_CHGPP","Q","1998-Q1",1.611039,
"PRT","ULC","EMP","PC_CHGPP","Q","1998-Q2",0.7199482,
"PRT","ULC","EMP","PC_CHGPP","Q","1998-Q3",-0.2275426,
"PRT","ULC","EMP","PC_CHGPP","Q","1998-Q4",0.5835527,
"PRT","ULC","EMP","PC_CHGPP","Q","1999-Q1",0.205707,
"PRT","ULC","EMP","PC_CHGPP","Q","1999-Q2",1.705469,
"PRT","ULC","EMP","PC_CHGPP","Q","1999-Q3",0.331734,
"PRT","ULC","EMP","PC_CHGPP","Q","1999-Q4",2.303663,
"PRT","ULC","EMP","PC_CHGPP","Q","2000-Q1",-0.4830185,
"PRT","ULC","EMP","PC_CHGPP","Q","2000-Q2",1.659564,
"PRT","ULC","EMP","PC_CHGPP","Q","2000-Q3",2.017652,
"PRT","ULC","EMP","PC_CHGPP","Q","2000-Q4",0.7465972,
"PRT","ULC","EMP","PC_CHGPP","Q","2001-Q1",0.3958784,
"PRT","ULC","EMP","PC_CHGPP","Q","2001-Q2",2.268061,
"PRT","ULC","EMP","PC_CHGPP","Q","2001-Q3",-0.03067258,
"PRT","ULC","EMP","PC_CHGPP","Q","2001-Q4",-0.4569077,
"PRT","ULC","EMP","PC_CHGPP","Q","2002-Q1",1.583941,
"PRT","ULC","EMP","PC_CHGPP","Q","2002-Q2",1.334321,
"PRT","ULC","EMP","PC_CHGPP","Q","2002-Q3",0.7998329,
"PRT","ULC","EMP","PC_CHGPP","Q","2002-Q4",-0.157867,
"PRT","ULC","EMP","PC_CHGPP","Q","2003-Q1",0.7553404,
"PRT","ULC","EMP","PC_CHGPP","Q","2003-Q2",1.918193,
"PRT","ULC","EMP","PC_CHGPP","Q","2003-Q3",0.7190741,
"PRT","ULC","EMP","PC_CHGPP","Q","2003-Q4",-0.2465153,
"PRT","ULC","EMP","PC_CHGPP","Q","2004-Q1",-0.7555915,
"PRT","ULC","EMP","PC_CHGPP","Q","2004-Q2",-0.2692486,
"PRT","ULC","EMP","PC_CHGPP","Q","2004-Q3",1.518994,
"PRT","ULC","EMP","PC_CHGPP","Q","2004-Q4",1.176921,
"PRT","ULC","EMP","PC_CHGPP","Q","2005-Q1",0.2995921,
"PRT","ULC","EMP","PC_CHGPP","Q","2005-Q2",-0.5284678,
"PRT","ULC","EMP","PC_CHGPP","Q","2005-Q3",3.981615,
"PRT","ULC","EMP","PC_CHGPP","Q","2005-Q4",-0.2913423,
"PRT","ULC","EMP","PC_CHGPP","Q","2006-Q1",-0.92422,
"PRT","ULC","EMP","PC_CHGPP","Q","2006-Q2",-0.08943526,
"PRT","ULC","EMP","PC_CHGPP","Q","2006-Q3",0.05031492,
"PRT","ULC","EMP","PC_CHGPP","Q","2006-Q4",-0.05370096,
"PRT","ULC","EMP","PC_CHGPP","Q","2007-Q1",0.4439142,
"PRT","ULC","EMP","PC_CHGPP","Q","2007-Q2",0.5309347,
"PRT","ULC","EMP","PC_CHGPP","Q","2007-Q3",0.1777769,
"PRT","ULC","EMP","PC_CHGPP","Q","2007-Q4",0.1357947,
"PRT","ULC","EMP","PC_CHGPP","Q","2008-Q1",1.3255,
"PRT","ULC","EMP","PC_CHGPP","Q","2008-Q2",0.6263914,
"PRT","ULC","EMP","PC_CHGPP","Q","2008-Q3",0.6407967,
"PRT","ULC","EMP","PC_CHGPP","Q","2008-Q4",0.8641526,
"PRT","ULC","EMP","PC_CHGPP","Q","2009-Q1",2.611781,
"PRT","ULC","EMP","PC_CHGPP","Q","2009-Q2",-0.9699132,
"PRT","ULC","EMP","PC_CHGPP","Q","2009-Q3",-0.904133,
"PRT","ULC","EMP","PC_CHGPP","Q","2009-Q4",1.045352,
"PRT","ULC","EMP","PC_CHGPP","Q","2010-Q1",-0.4431788,
"PRT","ULC","EMP","PC_CHGPP","Q","2010-Q2",-0.3978527,
"PRT","ULC","EMP","PC_CHGPP","Q","2010-Q3",-0.6935797,
"PRT","ULC","EMP","PC_CHGPP","Q","2010-Q4",-0.4870068,
"PRT","ULC","EMP","PC_CHGPP","Q","2011-Q1",-0.5503757,
"PRT","ULC","EMP","PC_CHGPP","Q","2011-Q2",-0.2379124,
"PRT","ULC","EMP","PC_CHGPP","Q","2011-Q3",-0.9577572,
"PRT","ULC","EMP","PC_CHGPP","Q","2011-Q4",-0.4823138,
"PRT","ULC","EMP","PC_CHGPP","Q","2012-Q1",-2.244939,
"PRT","ULC","EMP","PC_CHGPP","Q","2012-Q2",-0.566733,
"PRT","ULC","EMP","PC_CHGPP","Q","2012-Q3",0.08280352,
"PRT","ULC","EMP","PC_CHGPP","Q","2012-Q4",1.65828,
"PRT","ULC","EMP","PC_CHGPP","Q","2013-Q1",1.711682,
"PRT","ULC","EMP","PC_CHGPP","Q","2013-Q2",-1.340986,
"PRT","ULC","EMP","PC_CHGPP","Q","2013-Q3",0.1170988,
"PRT","ULC","EMP","PC_CHGPP","Q","2013-Q4",-1.720877,
"PRT","ULC","EMP","PC_CHGPP","Q","2014-Q1",-0.07750078,
"PRT","ULC","EMP","PC_CHGPP","Q","2014-Q2",0.06532019,
"PRT","ULC","EMP","PC_CHGPP","Q","2014-Q3",2.292656,
"PRT","ULC","EMP","PC_CHGPP","Q","2014-Q4",-2.956556,
"PRT","ULC","EMP","PC_CHGPP","Q","2015-Q1",1.137913,
"PRT","ULC","EMP","PC_CHGPP","Q","2015-Q2",0.2002159,
"PRT","ULC","EMP","PC_CHGPP","Q","2015-Q3",-0.5859185,
"PRT","ULC","EMP","PC_CHGPP","Q","2015-Q4",0.196048,
"PRT","ULC","EMP","PC_CHGPP","Q","2016-Q1",0.07332916,
"PRT","ULC","EMP","PC_CHGPP","Q","2016-Q2",0.8965946,
"PRT","ULC","EMP","PC_CHGPP","Q","2016-Q3",0.2652761,
"PRT","ULC","EMP","PC_CHGPP","Q","2016-Q4",0.05687235,
"PRT","ULC","EMP","PC_CHGPP","Q","2017-Q1",0.7744862,
"PRT","ULC","EMP","PC_CHGPP","Q","2017-Q2",0.7255186,
"PRT","ULC","EMP","PC_CHGPP","Q","2017-Q3",0.1469078,
"PRT","ULC","EMP","PC_CHGPP","Q","2017-Q4",1.062623,
"PRT","ULC","EMP","PC_CHGPP","Q","2018-Q1",-0.07609591,
"PRT","ULC","EMP","PC_CHGPP","Q","2018-Q2",0.8937119,
"PRT","ULC","EMP","PC_CHGPP","Q","2018-Q3",0.4671099,
"PRT","ULC","EMP","PC_CHGPP","Q","2018-Q4",1.161193,
"PRT","ULC","EMP","PC_CHGPP","Q","2019-Q1",-0.968281,
"PRT","ULC","EMP","PC_CHGPP","Q","2019-Q2",0.4078387,
"PRT","ULC","EMP","PC_CHGPP","Q","2019-Q3",1.459811,
"PRT","ULC","EMP","PC_CHGPP","Q","2019-Q4",-0.0985182,
"FRA","ULC","EMP","PC_CHGPY","Q","1950-Q1",0.6432502,
"FRA","ULC","EMP","PC_CHGPY","Q","1950-Q2",0.7662189,
"FRA","ULC","EMP","PC_CHGPY","Q","1950-Q3",2.871103,
"FRA","ULC","EMP","PC_CHGPY","Q","1950-Q4",5.37085,
"FRA","ULC","EMP","PC_CHGPY","Q","1951-Q1",10.9314,
"FRA","ULC","EMP","PC_CHGPY","Q","1951-Q2",16.52056,
"FRA","ULC","EMP","PC_CHGPY","Q","1951-Q3",22.20795,
"FRA","ULC","EMP","PC_CHGPY","Q","1951-Q4",26.81001,
"FRA","ULC","EMP","PC_CHGPY","Q","1952-Q1",23.42964,
"FRA","ULC","EMP","PC_CHGPY","Q","1952-Q2",19.57029,
"FRA","ULC","EMP","PC_CHGPY","Q","1952-Q3",12.78532,
"FRA","ULC","EMP","PC_CHGPY","Q","1952-Q4",7.089775,
"FRA","ULC","EMP","PC_CHGPY","Q","1953-Q1",3.176375,
"FRA","ULC","EMP","PC_CHGPY","Q","1953-Q2",-0.8235223,
"FRA","ULC","EMP","PC_CHGPY","Q","1953-Q3",-0.802797,
"FRA","ULC","EMP","PC_CHGPY","Q","1953-Q4",-1.391908,
"FRA","ULC","EMP","PC_CHGPY","Q","1954-Q1",0.6604034,
"FRA","ULC","EMP","PC_CHGPY","Q","1954-Q2",1.936093,
"FRA","ULC","EMP","PC_CHGPY","Q","1954-Q3",1.075734,
"FRA","ULC","EMP","PC_CHGPY","Q","1954-Q4",1.707869,
"FRA","ULC","EMP","PC_CHGPY","Q","1955-Q1",0.6731654,
"FRA","ULC","EMP","PC_CHGPY","Q","1955-Q2",0.4829797,
"FRA","ULC","EMP","PC_CHGPY","Q","1955-Q3",1.976084,
"FRA","ULC","EMP","PC_CHGPY","Q","1955-Q4",3.247639,
"FRA","ULC","EMP","PC_CHGPY","Q","1956-Q1",5.698935,
"FRA","ULC","EMP","PC_CHGPY","Q","1956-Q2",6.510157,
"FRA","ULC","EMP","PC_CHGPY","Q","1956-Q3",6.612416,
"FRA","ULC","EMP","PC_CHGPY","Q","1956-Q4",5.384349,
"FRA","ULC","EMP","PC_CHGPY","Q","1957-Q1",3.075843,
"FRA","ULC","EMP","PC_CHGPY","Q","1957-Q2",3.667822,
"FRA","ULC","EMP","PC_CHGPY","Q","1957-Q3",3.73619,
"FRA","ULC","EMP","PC_CHGPY","Q","1957-Q4",6.300828,
"FRA","ULC","EMP","PC_CHGPY","Q","1958-Q1",8.818307,
"FRA","ULC","EMP","PC_CHGPY","Q","1958-Q2",10.06928,
"FRA","ULC","EMP","PC_CHGPY","Q","1958-Q3",11.58399,
"FRA","ULC","EMP","PC_CHGPY","Q","1958-Q4",9.920069,
"FRA","ULC","EMP","PC_CHGPY","Q","1959-Q1",9.529766,
"FRA","ULC","EMP","PC_CHGPY","Q","1959-Q2",7.927883,
"FRA","ULC","EMP","PC_CHGPY","Q","1959-Q3",6.124349,
"FRA","ULC","EMP","PC_CHGPY","Q","1959-Q4",3.811185,
"FRA","ULC","EMP","PC_CHGPY","Q","1960-Q1",1.308411,
"FRA","ULC","EMP","PC_CHGPY","Q","1960-Q2",-0.6149678,
"FRA","ULC","EMP","PC_CHGPY","Q","1960-Q3",-0.9580255,
"FRA","ULC","EMP","PC_CHGPY","Q","1960-Q4",1.169167,
"FRA","ULC","EMP","PC_CHGPY","Q","1961-Q1",2.589326,
